category,item code,item,assigned sub group,UOM,SIZE,QTY,approver,with ATD and amount
uniform & PPEs,CM.CU.02.00463XL,"Uniform, Production Black T-Shirt, Dri-fit short sleeve 3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.00464XL,"Uniform, Production Black T-Shirt, Dri-fit short sleeve 4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.00465XL,"Uniform, Production Black T-Shirt, Dri-fit short sleeve 5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.00466XL,"Uniform, Production Black T-Shirt, Dri-fit short sleeve 6XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0064,"Uniform, Production, Longsleeve with hood, Extra Large",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0063,"Uniform, Production, Longsleeve with hood, Large",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0062,"Uniform, Production, Longsleeve with hood, Medium",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0061,"Uniform, Production, Longsleeve with hood, Small",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.07.0005,"Uniform, Thermal Suit Jacket -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.07.0006,"Uniform, Thermal Suit Jacket -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.07.0024,"Uniform, Thermal Suit Jacket -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.07.0007,"Uniform, Thermal Suit Pants -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.07.0008,"Uniform, Thermal Suit Pants -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.07.0021,"Uniform, Thermal Suit Pants -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0030,"Uniform, White Lab Gown for Visitors - 3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0031,"Uniform, White Lab Gown for Visitors - 4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0032,"Uniform, White Lab Gown for Visitors - 5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0020,"Uniform, White Lab Gown for Visitors - XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0014,"Uniform, White Lab Gown -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0015,"Uniform, White Lab Gown -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0016,"Uniform, White Lab Gown -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0017,"Uniform, White Lab Gown -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0046,"Uniform, White Longsleeves ( Female) -10XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0007,"Uniform, White Longsleeves ( Female) -3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0008,"Uniform, White Longsleeves ( Female) -4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0048,"Uniform, White Longsleeves ( Female) -5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0047,"Uniform, White Longsleeves ( Female) -6XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0004,"Uniform, White Longsleeves ( Female) -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0003,"Uniform, White Longsleeves ( Female) -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0002,"Uniform, White Longsleeves ( Female) -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0005,"Uniform, White Longsleeves ( Female) -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0006,"Uniform, White Longsleeves ( Female) -XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0013,"Uniform, White Longsleeves ( Male) -2XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0014,"Uniform, White Longsleeves ( Male) -3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0011,"Uniform, White Longsleeves ( Male) -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0010,"Uniform, White Longsleeves ( Male) -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0009,"Uniform, White Longsleeves ( Male) -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0012,"Uniform, White Longsleeves ( Male) -XL",Facilities Management -laundry,pc,,,,
